NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS 1;ENCARREGADO;SUPERVISOR;AR COELBA;nan;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102130549;B-1160749;ER-CIND-RCL-RUA-DO SUMIDOURO-CENTRO;CAMPO FORMOSO;ENERGIZADA;EUDARIO;ETEMILSON;HIAGO SANTANA - U470061;nan;PRIORIDADE PLANO ANEEL;19/12/24;19/12/24;20/12/24;2025-9269;2025-11494;nan;nan;nan;nan;E615777 ao E615784;2;8;6;5;3;62,50%;100,00%;16/12/24;20/01/25;31/01/2025;R025541;-10.5917029;-40.9342058;R$ 74.801,03;nan;nan;380,00;nan;Não iniada;Intercalar poste com trafo com a LV e extender rede BT 7 postes (380mtrs). Trado;JACOBINA;01/01/2025;1160749;Consolidado;N/A
9102099150;B-1151265;ER CIND FAZ BAIXA DA MINA RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/25;WAGNER;ETEMILSON;HIAGO SANTANA - U470061;nan;PRIORIDADE PLANO ANEEL;23/12/24;23/12/24;26/12/24;nan;2024-150146;nan;nan;nan;nan;E615799 AO E615802;1;4;nan;nan;4;0%;100,00%;11/12/24;20/01/25;nan;D574604;-10.2691168;-40.6424555;R$ 24.119,08;nan;nan;235,00;nan;Não iniada;Extensão 4 BT cabo 1x25 (235mts), depois do povoado Panela, solo cava em rocha;JACOBINA;01/01/2025;1151265;Consolidado;N/A
9102092311;B-1151807;ER-CIND-POV-VARGEM DO SAL-VARGEM DO SAL;CAMPO FORMOSO;LPT;EUDARIO;ETEMILSON;RAMON - U464714;nan;PRIORIDADE PLANO ANEEL;19/12/24;19/12/24;21/12/24;2024-151786;nan;nan;nan;nan;nan;E615785 ao E615789;1;5;nan;nan;5;0%;100,00%;21/01/25;27/01/25;nan;E237974;-10.4096905;-40.6827986;R$ 50.830,09;nan;nan;240,00;nan;Pendente perfuração e detonação de 5 cavas;Instalar trafo no PG E237874, extensão 5 postes BT cabo 1x25 (235mts), Vargem do Sal, 100% detonada;JACOBINA;01/01/2025;1151807;Consolidado;N/A
9101727668;B-1007792;nan;CAMPO FORMOSO;RETIRADA CARTEIRA  (SIPEL) - 07/01/25;JAILTON;ETEMILSON;HIAGO SANTANA - U470061;nan;DIA C SIPEL JACOBINA;10/12/24;10/12/24;12/12/24;2024-148343;nan;nan;nan;nan;nan;E601279 ao E601281;nan;3;nan;nan;3;0%;100,00%;14/12/24;14/12/24;nan;nan;-9.9648812;-40.5897338;nan;nan;nan;nan;nan;Não iniada;nan;JACOBINA;01/01/2025;1007792;Consolidado;N/A
9101691568;B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;SIPEL BONFIM;SIPEL BONFIM;SIPEL BONFIM;nan;nan;REPUTACIONAL;nan;nan;nan;nan;nan;nan;nan;nan;1014112/2024;E682438 AO E682767;38;324;nan;nan;324;0%;100,00%;05/12/24;31/01/25;nan;D010745;-9.9124989;-40.6843068;R$ 3.518.237,37;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1044483;Consolidado;N/A
9102122531;B-1160634;RC-CIND-POV-LIMOEIRO-RURAL;CAMPO FORMOSO;SIPEL BONFIM;SIPEL BONFIM;SIPEL BONFIM;nan;nan;REPUTACIONAL;05/12/24;05/12/24;06/12/24;OK;nan;"2024-144408
MANOBRA";13/12/24;CONCLUÍDO;1014121/2024;E682935 AO  E682990;nan;56;10;10;46;18%;100,00%;05/12/24;31/01/25;nan;nan;-10.5203873;-40.3286489;R$ 613.384,87;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1160634;Consolidado;N/A
9101290252;B-0914747;RU-CCOL-FAZ GENIO-RURAL-CRB;CAMPO FORMOSO;SIPEL BONFIM;SIPEL BONFIM;SIPEL BONFIM;nan;nan;JUDICIAL;26/12/24;27/12/24;DEFINIR;OK;CRIAR;nan;nan;nan;1014115/2024;E682787 AO  E682882;13;96;nan;nan;96;0%;100,00%;16/12/24;31/01/25;nan;D922297;-10.2468485;-40.5458005;R$ 660.273,67;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;0914747;Consolidado;N/A
9100822013;B-0727794;ER-CIND-POV PORTO FELIZ-RURAL;PIRITIBA;CANCELADA. CLIENTE JÁ ATENDIDO;ALEX SANDRO;DURVAL;nan;nan;LPT;nan;nan;nan;nan;nan;CRIAR;07/02/25;CRIAR;nan;1;1;3;nan;nan;3;nan;nan;nan;nan;nan;nan;-11.759143;-40.712766;R$ 38.146,21;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;0727794;Consolidado;N/A
9101802699;B-1033477;ER-CIND-POV-LAGOA DA ON A-RURAL;PIRITIBA;CANCELADA. ATENDIDO PELO PARECER 023.;nan;DURVAL;nan;nan;LPT;nan;nan;nan;nan;nan;nan;nan;nan;nan;2;0;2;nan;nan;2;nan;nan;nan;nan;nan;nan;nan;nan;R$ 12.365,73;nan;nan;115,00;nan;nan;Intercalar 2 postes c LV;JACOBINA;01/01/2025;1033477;Consolidado;N/A
nan;B-1139336;RR-CIND-POV-AVN PRINCIPAL-JEQUITIBA MOD;MUNDO NOVO;SUBST. PELA OBRA B-1077783;JAILTON;RENATO;nan;nan;REPUTACIONAL;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2;22;nan;nan;22;nan;nan;09/01/25;21/01/25;nan;nan;nan;nan;R$ 152.631,18;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;1139336;Consolidado;N/A
9102057077;B-1138085;ER-CIND-SI-GENIO 1000-Z-RURAL;CAMPO FORMOSO;SIPEL BONFIM;JOSE SILVA;ETEMILSON;HIAGO;nan;PRIORIDADE PLANO ANEEL;12/11/24;12/11/24;13/11/24;2024-134208;nan;nan;nan;nan;1012174/2024;E669469 ao E669475;nan;8;2;nan;8;0,00%;100,00%;18/11/24;nan;nan;D922638;-10.314319;-40.485305;R$ 51.250,03;nan;nan;350,00;nan;Pendente perfuração e detonação de 8 cavas;Extenão BT cabo 1x25 (350mt) e intercalar poste MT em rede para fazer uma travessia;JACOBINA;01/01/2025;1138085;Consolidado;N/A
9102124526;B-1158654;ER-CIND-POV-FOLHA LARGA-RURAL;CAMPO FORMOSO;SIPEL BONFIM;JOSE SILVA;ETEMILSON;HIAGO SANTANA - U470061;nan;JUDICIAL;19/12/24;19/12/24;20/12/24;2024-151699;nan;nan;nan;nan;nan;E601317 ao E601322;1;6;nan;nan;6;0%;100,00%;17/12/24;30/12/24;nan;D922370;-10.2828275;-40.5142564;R$ 51.851,40;nan;nan;290,00;nan;Pendente perfuração e detonação de 6 cavas;Intercalar poste com trafo com a LV e extender rede BT 5 postes (290mtrs). Cava em rocha retro;JACOBINA;01/01/2025;1158654;Consolidado;N/A
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2025;;Descartado;Projeto Vazio ou sem sufixo '-' (Filtro PQ Janeiro)
